Order ID,Order Date,Customer Name,State,Region,City,Category,Product Name,Quantity,Sales,Discount,Profit
1001,2025-12-13,Customer_35,Maharashtra,West,Pune,Electronics,Headphones,4,30256.0,0.05,4667.74
1002,2025-09-16,Customer_2,Maharashtra,West,Pune,Grocery,Sugar,1,1226.0,0.0,19.12
1003,2025-01-04,Customer_11,Rajasthan,North,Jaipur,Electronics,Smartwatch,4,59878.0,0.2,-1988.52
1004,2025-07-14,Customer_7,Uttar Pradesh,North,Lucknow,Furniture,Sofa,3,21915.0,0.1,-1154.27
1005,2025-07-13,Customer_6,Delhi,North,New Delhi,Furniture,Sofa,1,24161.5,0.15,1470.67
1006,2025-04-27,Customer_19,Rajasthan,North,Jaipur,Furniture,Sofa,4,93348.0,0.0,-3384.12
1007,2025-07-06,Customer_11,Maharashtra,West,Pune,Electronics,Laptop,7,65509.5,0.15,5942.06
1008,2025-11-08,Customer_11,Delhi,North,New Delhi,Furniture,Table,5,116235.0,0.25,7099.32
1009,2025-11-24,Customer_15,Rajasthan,North,Jaipur,Grocery,Wheat,3,46191.0,0.15,-878.35
1010,2025-04-19,Customer_21,Delhi,North,New Delhi,Electronics,Mobile,1,10586.5,0.15,-208.32
1011,2025-03-13,Customer_16,Karnataka,South,Bengaluru,Grocery,Sugar,7,149201.5,0.15,-8525.15
1012,2025-03-12,Customer_33,Rajasthan,North,Jaipur,Grocery,Oil,7,135597.0,0.15,1165.99
1013,2025-12-15,Customer_28,West Bengal,East,Kolkata,Electronics,Laptop,2,10516.0,0.25,-897.42
1014,2025-10-11,Customer_1,Telangana,South,Hyderabad,Electronics,Smartwatch,7,138432.0,0.15,8130.71
1015,2025-08-21,Customer_1,Maharashtra,West,Pune,Grocery,Oil,6,23430.0,0.1,1103.46
1016,2025-09-17,Customer_13,Tamil Nadu,South,Chennai,Grocery,Wheat,2,41479.0,0.1,7016.9
1017,2025-02-27,Customer_24,Gujarat,West,Ahmedabad,Furniture,Table,1,19876.0,0.1,1257.12
1018,2025-09-06,Customer_5,Tamil Nadu,South,Chennai,Electronics,Laptop,4,75364.0,0.0,-1831.64
1019,2025-11-07,Customer_28,Rajasthan,North,Jaipur,Electronics,Mobile,8,146124.0,0.05,1877.74
1020,2025-08-13,Customer_34,Karnataka,South,Bengaluru,Grocery,Wheat,5,66620.0,0.25,4105.8
